the	31806
and	24311
be	22135
to	21314
of	17086
we	15629
that	12776
a	12615
in	11131
i	10535
have	8956
it	7499
you	7464
our	7374
they	6306
for	6272
not	6088
do	5900
this	4893
will	4581
on	3958
with	3853
s	3769
but	3447
people	3289
as	3213
all	2855
can	2837
so	2800
go	2779
re	2619
their	2611
applause	2478
what	2422
who	2421
by	2349
more	2343
make	2316
from	2261
president	2191
america	2183
know	2121
get	2106
he	2091
year	2069
at	2047
say	1961
country	1929
or	1908
one	1873
work	1852
there	1733
want	1702
american	1681
about	1666
now	1662
if	1655
an	1609
because	1587
just	1577
world	1575
when	1534
time	1521
ve	1520
very	1505
my	1457
new	1451
well	1446
nation	1435
these	1428
come	1376
than	1376
no	1374
up	1365
great	1353
take	1335
thank	1317
your	1316
see	1311
right	1297
would	1262
those	1249
good	1235
here	1216
class	1213
every	1203
other	1178
like	1175
job	1174
think	1160
out	1131
americans	1097
span	1094
need	1081
many	1069
some	1065
united	1037
help	1025
way	1000
also	994
over	975
must	949
give	929
states	894
life	883
thing	881
let	870
should	865
how	861
today	861
day	849
ll	830
where	825
family	823
child	808
q	784
look	780
much	773
million	770
long	755
first	746
last	740
state	740
war	738
m	734
government	723
back	719
his	709
never	703
into	699
only	688
most	685
why	678
security	674
could	665
economy	665
lot	658
two	653
believe	649
build	648
even	648
together	644
its	641
down	637
ask	631
business	628
home	626
future	624
happen	614
she	611
law	605
call	601
own	594
which	594
congress	584
through	576
health	568
talk	567
keep	566
care	561
stand	560
tell	554
before	552
end	548
pay	546
use	546
history	545
support	545
man	541
s1	539
change	533
tonight	529
woman	520
freedom	518
plan	517
t	514
any	513
high	513
ever	512
act	510
after	508
n	506
fight	503
force	500
put	500
citizen	493
mean	491
iraq	489
place	488
tax	486
then	485
000	479
strong	476
school	472
worker	470
military	464
big	463
power	463
create	460
bring	459
protect	457
democracy	456
pass	456
too	455
continue	454
hard	451
against	450
leader	444
hope	440
p	439
community	438
again	436
lead	432
